db-1   | 2026-08-24 12:46:02.165 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=9 kB; lsn=0/25B99C8, redo lsn=0/25B9990
db-1   | 2026-08-24 12:51:02.265 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 12:51:02.375 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=8 kB; lsn=0/25BAFC0, redo lsn=0/25BAF88
db-1   | 2026-08-24 12:56:02.467 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 12:56:02.578 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.002 s, total=0.111 s; sync files=2, longest=0.002 s, average=0.001 s; distance=6 kB, estimate=8 kB; lsn=0/25BC8C0, redo lsn=0/25BC888
db-1   | 2026-08-24 13:01:02.659 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 13:01:02.769 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.110 s; sync files=2, longest=0.002 s, average=0.001 s; distance=7 kB, estimate=8 kB; lsn=0/25BE518, redo lsn=0/25BE4E0
db-1   | 2026-08-24 13:06:02.787 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 13:06:03.097 UTC [55] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.303 s, sync=0.002 s, total=0.311 s; sync files=3, longest=0.002 s, average=0.001 s; distance=23 kB, estimate=23 kB; lsn=0/25C4138, redo lsn=0/25C4100
db-1   | 2026-08-24 13:11:02.198 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 13:11:02.306 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=2 kB, estimate=20 kB; lsn=0/25C4A30, redo lsn=0/25C49F8
db-1   | 2026-08-24 13:16:02.310 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 13:16:02.417 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.108 s; sync files=2, longest=0.001 s, average=0.001 s; distance=3 kB, estimate=19 kB; lsn=0/25C5680, redo lsn=0/25C5648
db-1   | 2026-08-24 13:21:02.518 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-08-24 13:21:02.626 UTC [55] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.002 s, total=0.109 s; sync files=2, longest=0.001 s, average=0.001 s; distance=4 kB, estimate=17 kB; lsn=0/25C66F0, redo lsn=0/25C66B8
